,Data,Country,CO2,N2O,CH4,AverageTemperature,Mes
6944,1993,Sweden,58917.42729662968,5805.716133865738,8039.18804774282,6.351000000000001,9
6945,1993,Sweden,59157.15486278154,5798.035224405399,8031.587821064756,1.485,10
6946,1993,Sweden,59376.05346037243,5792.462198731132,8023.65695637033,-3.034,11
6947,1993,Sweden,59565.80513114521,5790.109610148219,8015.421447788122,-6.625,12
6948,1994,Sweden,59718.09191684462,5792.090011961885,8006.907289446644,-9.031,1
6949,1994,Sweden,59824.59585921507,5799.51595747741,7998.140475474409,-11.718,2
6950,1994,Sweden,59876.999,5813.499999999999,7989.146999999999,-3.366,3
6951,1994,Sweden,59870.43608224324,5834.720912041931,7979.9602526218205,3.228,4
6952,1994,Sweden,59813.852654185066,5862.122342943604,7970.643204817846,6.763999999999999,5
6953,1994,Sweden,59719.646965365624,5894.214161252192,7961.266223536023,11.118,6
6954,1994,Sweden,59600.2172653246,5929.506235515096,7951.899675724218,17.233,7
6955,1994,Sweden,59467.96180360145,5966.508434279753,7942.613928330297,14.164,8
6956,1994,Sweden,59335.27882973673,6003.73062609328,7933.47934830221,8.25,9
6957,1994,Sweden,59214.56659326987,6039.682679503114,7924.56630258782,2.391,10
6958,1994,Sweden,59118.223343740465,6072.874463056671,7915.945158135,-1.97,11
6959,1994,Sweden,59058.647330688866,6101.815845301095,7907.68628189169,-2.504,12
6960,1995,Sweden,59048.23680365455,6125.016694783811,7899.860040805758,-6.381,1
6961,1995,Sweden,59099.39001217759,6140.986880052189,7892.536801825081,-3.475,2
6962,1995,Sweden,59224.50520579751,6148.236269653465,7885.786931897592,-1.4940000000000002,3
6963,1995,Sweden,59435.341660556085,6145.340201119483,7879.678090952412,0.757,4
6964,1995,Sweden,59728.96226203951,6132.37979862463,7874.215677487432,6.359,5
6965,1995,Sweden,60087.7335053796,6110.941972985809,7869.34282856928,12.909,6
6966,1995,Sweden,60493.3829122069,6082.6791040045855,7864.999974245879,14.079,7
6967,1995,Sweden,60927.63800415493,6049.243571482342,7861.127544565095,13.931,8
6968,1995,Sweden,61372.22630285758,6012.287755220409,7857.665969574816,8.721,9
6969,1995,Sweden,61808.875329944916,5973.464035020435,7854.555679322948,5.101,10
6970,1995,Sweden,62219.312607050815,5934.424790683755,7851.737103857371,-4.217,11
6971,1995,Sweden,62585.26565580885,5896.822402011707,7849.150673225969,-9.498,12
6972,1996,Sweden,62888.46199784952,5862.309248805938,7846.736817476648,-6.7860000000000005,1
6973,1996,Sweden,63110.629154806535,5832.537710867779,7844.435966657286,-10.254,2
6974,1996,Sweden,63233.49464831276,5809.160167998609,7842.18855081577,-3.731,3
6975,1996,Sweden,63238.786000000015,5793.829,7839.935000000001,1.866,4
